Field_ID,Type,Required,Controlled_Values,Description,Version
$defs.deployment_state.current_states[],string,NO,RESEARCH | CLINICAL INVESTIGATIONAL | CLINICAL AUTHORIZED | HOME OR COMMUNITY | CONSUMER | WORKPLACE | EDUCATION | JUSTICE OR DETENTION | DEFENCE OR SECURITY | OTHER,,v4.2
$defs.deployment_state.future_use_gates,array,YES,,,v4.2
$defs.deployment_state.future_use_gates[],object,NO,,,v4.2
$defs.deployment_state.future_use_gates[].state,string,YES,RESEARCH | CLINICAL INVESTIGATIONAL | CLINICAL AUTHORIZED | HOME OR COMMUNITY | CONSUMER | WORKPLACE | EDUCATION | JUSTICE OR DETENTION | DEFENCE OR SECURITY | OTHER,,v4.2
$defs.deployment_state.future_use_gates[].gate_status,string,YES,CURRENTLY APPLICABLE | CURRENTLY INAPPLICABLE | REOPENING REQUIRED | PROHIBITED | UNRESOLVED,,v4.2
$defs.deployment_state.future_use_gates[].rationale,string,YES,,,v4.2
$defs.deployment_state.modifiers,array,YES,,,v4.2
$defs.deployment_state.modifiers[],string,NO,,,v4.2
$defs.configuration_relationship,object,NO,,,v4.2
$defs.configuration_relationship.relationship_id,string,YES,,,v4.2
$defs.configuration_relationship.from_configuration,string,YES,,,v4.2
$defs.configuration_relationship.to_configuration,string,YES,,,v4.2
$defs.configuration_relationship.relationship_type,string,YES,SAME | SUBSET | SUPERSET | ALTERNATE | SUPERSEDED | SUCCESSOR | DERIVED FROM | APPLIES TO | INCONSISTENT WITH | UNRESOLVED,,v4.2
$defs.configuration_relationship.basis,string,YES,,,v4.2
$defs.configuration_relationship.evidence_ids,array,YES,,,v4.2
$defs.configuration_relationship.evidence_ids[],string,NO,,,v4.2
$defs.configuration_relationship.limitations,array,NO,,,v4.2
$defs.configuration_relationship.limitations[],string,NO,,,v4.2
$defs.source_version_relationship,object,NO,,,v4.2
$defs.source_version_relationship.relationship_id,string,YES,,,v4.2
$defs.source_version_relationship.from_source_id,string,YES,,,v4.2
$defs.source_version_relationship.to_source_id,string,YES,,,v4.2
$defs.source_version_relationship.relationship_type,string,YES,SAME | SUBSET | SUPERSET | ALTERNATE | SUPERSEDED | SUCCESSOR | DERIVED FROM | APPLIES TO | INCONSISTENT WITH | UNRESOLVED,,v4.2
$defs.source_version_relationship.authority_state,string,YES,AUTHORITATIVE FOR THIS CLAIM | SUPPORTING | HISTORICAL | SUPERSEDED | CONFLICTING | UNRESOLVED,,v4.2
$defs.source_version_relationship.basis,string,YES,,,v4.2
$defs.source_version_relationship.affected_claim_ids,array,NO,,,v4.2
$defs.source_version_relationship.affected_claim_ids[],string,NO,,,v4.2
$defs.provenance_discrepancy,object,NO,,,v4.2
$defs.provenance_discrepancy.discrepancy_id,string,YES,,,v4.2
$defs.provenance_discrepancy.observed_pointer,string,YES,,,v4.2
$defs.provenance_discrepancy.adjudicated_identity,string,YES,,,v4.2
$defs.provenance_discrepancy.authoritative_source_ids,array,YES,,,v4.2
$defs.provenance_discrepancy.authoritative_source_ids[],string,NO,,,v4.2
$defs.provenance_discrepancy.status,string,YES,,,v4.2
$defs.provenance_discrepancy.propagation_controls,array,YES,,,v4.2
$defs.provenance_discrepancy.propagation_controls[],string,NO,,,v4.2
$defs.provenance_discrepancy.limitations,array,NO,,,v4.2
$defs.provenance_discrepancy.limitations[],string,NO,,,v4.2
$defs.configuration_epoch,object,NO,,,v4.2
$defs.configuration_epoch.epoch_id,string,YES,,,v4.2
$defs.configuration_epoch.configuration_id,string,YES,,,v4.2
$defs.configuration_epoch.start,string,YES,,,v4.2
$defs.configuration_epoch.end,string,YES,,,v4.2
$defs.configuration_epoch.material_changes,array,YES,,,v4.2
$defs.configuration_epoch.material_changes[],string,NO,,,v4.2
$defs.configuration_epoch.endpoint_ids,array,YES,,,v4.2
$defs.configuration_epoch.endpoint_ids[],string,NO,,,v4.2
$defs.configuration_epoch.evidence_ids,array,YES,,,v4.2
$defs.configuration_epoch.evidence_ids[],string,NO,,,v4.2
$defs.configuration_epoch.limitations,array,NO,,,v4.2
$defs.configuration_epoch.limitations[],string,NO,,,v4.2
$defs.denominator,object,NO,,,v4.2
$defs.denominator.denominator_id,string,YES,,,v4.2
$defs.denominator.denominator_type,string,YES,,,v4.2
$defs.denominator.population_definition,string,YES,,,v4.2
$defs.denominator.value_state,string,YES,,,v4.2
$defs.denominator.value,,YES,,,v4.2
$defs.denominator.time_window,string,YES,,,v4.2
$defs.denominator.configuration_id,string,YES,,,v4.2
$defs.denominator.evidence_ids,array,YES,,,v4.2
$defs.denominator.evidence_ids[],string,NO,,,v4.2
$defs.denominator.transition_from_ids,array,NO,,,v4.2
$defs.denominator.transition_from_ids[],string,NO,,,v4.2
$defs.denominator.limitations,array,NO,,,v4.2
$defs.denominator.limitations[],string,NO,,,v4.2
$defs.functional_contribution,object,NO,,,v4.2
$defs.functional_contribution.contribution_id,string,YES,,,v4.2
$defs.functional_contribution.layer,string,YES,,,v4.2
$defs.functional_contribution.target,string,YES,,,v4.2
$defs.functional_contribution.comparator,string,YES,,,v4.2
$defs.functional_contribution.metric_delta,string,YES,,,v4.2
$defs.functional_contribution.uncertainty,string,YES,,,v4.2
$defs.functional_contribution.residual_confounds,array,YES,,,v4.2
$defs.functional_contribution.residual_confounds[],string,NO,,,v4.2
$defs.functional_contribution.evidence_ids,array,YES,,,v4.2
$defs.functional_contribution.evidence_ids[],string,NO,,,v4.2
$defs.independence_axis,object,NO,,,v4.2
$defs.independence_axis.independence_id,string,YES,,,v4.2
$defs.independence_axis.axis,string,YES,,,v4.2
$defs.independence_axis.state,string,YES,,,v4.2
$defs.independence_axis.dependencies,array,YES,,,v4.2
$defs.independence_axis.dependencies[],string,NO,,,v4.2
$defs.independence_axis.evidence_ids,array,YES,,,v4.2
$defs.independence_axis.evidence_ids[],string,NO,,,v4.2
$defs.independence_axis.limitations,array,YES,,,v4.2
$defs.independence_axis.limitations[],string,NO,,,v4.2
$defs.latency_record,object,NO,,,v4.2
$defs.latency_record.latency_id,string,YES,,,v4.2
$defs.latency_record.latency_class,string,YES,CAUSAL STREAMING | INCREMENTAL | ASYNCHRONOUS WINDOW | BATCH | CLOSED-LOOP CONTROL | OFFLINE ANALYSIS | UNRESOLVED,,v4.2
$defs.latency_record.measurement_start,string,YES,,,v4.2
$defs.latency_record.measurement_end,string,YES,,,v4.2
$defs.latency_record.value,,YES,,,v4.2
$defs.latency_record.units,string,YES,,,v4.2
$defs.latency_record.output_availability,string,YES,,,v4.2
$defs.latency_record.evidence_ids,array,YES,,,v4.2
$defs.latency_record.evidence_ids[],string,NO,,,v4.2
$defs.latency_record.limitations,array,NO,,,v4.2
$defs.latency_record.limitations[],string,NO,,,v4.2
$defs.control_authority,object,NO,,,v4.2
$defs.control_authority.control_id,string,YES,,,v4.2
$defs.control_authority.actor_type,string,YES,PARTICIPANT | CAREGIVER | CLINICIAN | OPERATOR | SYSTEM | SPONSOR | MANUFACTURER | EMERGENCY AUTHORITY | OTHER,,v4.2
$defs.control_authority.state_type,string,YES,PAUSE TO SAFE THERAPY | STOP OUTPUT | STOP STIMULATION | CLINICIAN OVERRIDE | PARTICIPANT OVERRIDE | EMERGENCY SHUTDOWN | DEGRADED MODE | RECOVERY | OTHER,,v4.2
$defs.control_authority.trigger,string,YES,,,v4.2
$defs.control_authority.transition,string,YES,,,v4.2
$defs.control_authority.tested_state,string,YES,,,v4.2
$defs.control_authority.evidence_ids,array,YES,,,v4.2
$defs.control_authority.evidence_ids[],string,NO,,,v4.2
$defs.control_authority.limitations,array,NO,,,v4.2
$defs.control_authority.limitations[],string,NO,,,v4.2
$defs.operational_burden,object,NO,,,v4.2
$defs.operational_burden.burden_id,string,YES,,,v4.2
$defs.operational_burden.burden_type,string,YES,,,v4.2
$defs.operational_burden.actor,string,YES,,,v4.2
$defs.operational_burden.frequency,string,YES,,,v4.2
$defs.operational_burden.duration_or_load,string,YES,,,v4.2
$defs.operational_burden.outcome_or_access_effect,string,YES,,,v4.2
$defs.operational_burden.evidence_ids,array,YES,,,v4.2
$defs.operational_burden.evidence_ids[],string,NO,,,v4.2
$defs.operational_burden.limitations,array,NO,,,v4.2
$defs.operational_burden.limitations[],string,NO,,,v4.2
$defs.update_lineage,object,NO,,,v4.2
$defs.update_lineage.update_id,string,YES,,,v4.2
$defs.update_lineage.configuration_before,string,YES,,,v4.2
$defs.update_lineage.configuration_after,string,YES,,,v4.2
$defs.update_lineage.change_type,string,YES,,,v4.2
$defs.update_lineage.source_data_ids,array,YES,,,v4.2
$defs.update_lineage.source_data_ids[],string,NO,,,v4.2
$defs.update_lineage.consent_state,string,YES,,,v4.2
$defs.update_lineage.privacy_state,string,YES,,,v4.2
$defs.update_lineage.withdrawal_effect,string,YES,,,v4.2
$defs.update_lineage.evidence_ids,array,YES,,,v4.2
$defs.update_lineage.evidence_ids[],string,NO,,,v4.2
$defs.update_lineage.limitations,array,NO,,,v4.2
$defs.update_lineage.limitations[],string,NO,,,v4.2
$defs.participant_authority,object,NO,,,v4.2
$defs.participant_authority.authority_id,string,YES,,,v4.2
$defs.participant_authority.power,string,YES,CONSULTATION | CO-DESIGN | VOTING | VETO | EVIDENCE-USE CONTROL | DATA-WITHDRAWAL CONTROL | SYSTEM CESSATION CONTROL | DISSENT | REMEDY | NONE DOCUMENTED,,v4.2
$defs.participant_authority.holder,string,YES,,,v4.2
$defs.participant_authority.scope,string,YES,,,v4.2
$defs.participant_authority.exercised_state,string,YES,,,v4.2
$defs.participant_authority.evidence_ids,array,YES,,,v4.2
$defs.participant_authority.evidence_ids[],string,NO,,,v4.2
$defs.participant_authority.limitations,array,NO,,,v4.2
$defs.participant_authority.limitations[],string,NO,,,v4.2
$defs.postmarket_exposure,object,NO,,,v4.2
$defs.postmarket_exposure.exposure_id,string,YES,,,v4.2
$defs.postmarket_exposure.configuration_id,string,YES,,,v4.2
$defs.postmarket_exposure.jurisdiction,string,YES,,,v4.2
$defs.postmarket_exposure.time_window,string,YES,,,v4.2
$defs.postmarket_exposure.exposure_denominator_state,string,YES,,,v4.2
$defs.postmarket_exposure.exposure_denominator,,YES,,,v4.2
$defs.postmarket_exposure.event_ids,array,YES,,,v4.2
$defs.postmarket_exposure.event_ids[],string,NO,,,v4.2
$defs.postmarket_exposure.evidence_ids,array,YES,,,v4.2
$defs.postmarket_exposure.evidence_ids[],string,NO,,,v4.2
$defs.postmarket_exposure.limitations,array,NO,,,v4.2
$defs.postmarket_exposure.limitations[],string,NO,,,v4.2
$defs.reproducibility_record,object,NO,,,v4.2
$defs.reproducibility_record.reproducibility_id,string,YES,,,v4.2
$defs.reproducibility_record.tier,string,YES,R0 NONE | R1 FIGURES | R2 ANALYSIS | R3 ENDPOINTS | R4 MODEL | R5 ONLINE SYSTEM | R6 CLINICAL WORKFLOW,,v4.2
$defs.reproducibility_record.state,string,YES,,,v4.2
$defs.reproducibility_record.artifacts,array,YES,,,v4.2
$defs.reproducibility_record.artifacts[],string,NO,,,v4.2
$defs.reproducibility_record.independent_execution_state,string,YES,,,v4.2
$defs.reproducibility_record.evidence_ids,array,YES,,,v4.2
$defs.reproducibility_record.evidence_ids[],string,NO,,,v4.2
$defs.reproducibility_record.limitations,array,NO,,,v4.2
$defs.reproducibility_record.limitations[],string,NO,,,v4.2
$defs.typed_decision,object,NO,,,v4.2
$defs.typed_decision.decision_id,string,YES,,,v4.2
$defs.typed_decision.decision_object_type,string,YES,CLAIM ADJUDICATION | LEGAL OR REGULATORY AUTHORIZATION | CONFORMANCE DECISION | PROHIBITED-USE DECISION | REOPENING DECISION,,v4.2
$defs.typed_decision.authority,string,YES,,,v4.2
$defs.typed_decision.authority_basis,string,YES,,,v4.2
$defs.typed_decision.decision_state,string,YES,SUPPORTED WITHIN BOUNDED SCOPE | PARTIALLY SUPPORTED | UNSUPPORTED | CONTRADICTED | AUTHORIZED WITHIN BOUNDED SCOPE | NOT AUTHORIZED | AUTHORIZATION NOT ASSESSED | NOT APPLICABLE | CONFORMS FOR BOUNDED SCOPE | CONDITIONAL CONFORMANCE | NO CONFORMANCE DECISION — BLOCKED | PROHIBITED OR DISPROPORTIONATE USE | ASSESSMENT INCOMPLETE | REOPENED,,v4.2
$defs.typed_decision.scope,object,YES,,,v4.2
$defs.typed_decision.evidence_threshold,string,YES,,,v4.2
$defs.typed_decision.evidence_ids,array,YES,,,v4.2
$defs.typed_decision.evidence_ids[],string,NO,,,v4.2
$defs.typed_decision.strongest_supported_claim,string,YES,,,v4.2
$defs.typed_decision.prohibited_inferences,array,YES,,,v4.2
$defs.typed_decision.prohibited_inferences[],string,NO,,,v4.2
$defs.typed_decision.conditions,array,YES,,,v4.2
$defs.typed_decision.conditions[],string,NO,,,v4.2
$defs.typed_decision.expiry,string,YES,,,v4.2
$defs.typed_decision.reopening_triggers,array,YES,,,v4.2
$defs.typed_decision.reopening_triggers[],string,NO,,,v4.2
$defs.typed_decision.linked_legacy_decision_id,string,NO,,,v4.2
$defs.typed_decision.limitations,array,NO,,,v4.2
$defs.typed_decision.limitations[],string,NO,,,v4.2
$defs.migration_provenance,object,NO,,,v4.2
$defs.migration_provenance.migration_id,string,YES,,,v4.2
$defs.migration_provenance.source_instrument_version,string,YES,,,v4.2
$defs.migration_provenance.target_instrument_version,string,YES,,,v4.2
$defs.migration_provenance.source_assessment_id,string,YES,,,v4.2
$defs.migration_provenance.source_sha256,string,YES,,,v4.2
$defs.migration_provenance.historical_projection_sha256,string,YES,,,v4.2
$defs.migration_provenance.migration_ruleset,string,YES,,,v4.2
$defs.migration_provenance.migration_date,string,YES,,,v4.2
$defs.migration_provenance.preservation_verified,boolean,YES,,,v4.2
$defs.migration_provenance.migration_warnings,array,NO,,,v4.2
$defs.migration_provenance.migration_warnings[],string,NO,,,v4.2
